date,open,high,low,close,volume
2025-04-28 09:15:00+05:30,24070.25,24152.2,24054.05,24131.55,0
2025-04-28 09:20:00+05:30,24130.15,24138.15,24082.1,24090.7,0
2025-04-28 09:25:00+05:30,24089.5,24136.2,24082.75,24117.95,0
2025-04-28 09:30:00+05:30,24117.05,24185.85,24108.65,24184.3,0
2025-04-28 09:35:00+05:30,24184.0,24227.8,24177.65,24221.65,0
2025-04-28 09:40:00+05:30,24222.7,24226.2,24173.45,24176.6,0
2025-04-28 09:45:00+05:30,24175.75,24216.8,24175.75,24188.1,0
2025-04-28 09:50:00+05:30,24186.7,24207.9,24174.3,24196.8,0
2025-04-28 09:55:00+05:30,24197.5,24231.95,24183.0,24229.3,0
2025-04-28 10:00:00+05:30,24228.6,24236.15,24217.8,24229.8,0
2025-04-28 10:05:00+05:30,24229.45,24266.55,24229.45,24265.25,0
2025-04-28 10:10:00+05:30,24264.8,24279.3,24252.9,24275.85,0
2025-04-28 10:15:00+05:30,24276.0,24283.0,24265.3,24275.45,0
2025-04-28 10:20:00+05:30,24275.55,24280.2,24238.0,24245.55,0
2025-04-28 10:25:00+05:30,24245.5,24263.0,24229.35,24236.85,0
2025-04-28 10:30:00+05:30,24238.05,24263.15,24237.7,24254.6,0
2025-04-28 10:35:00+05:30,24254.25,24262.65,24240.9,24259.15,0
2025-04-28 10:40:00+05:30,24258.1,24259.05,24244.1,24245.35,0
2025-04-28 10:45:00+05:30,24245.45,24263.85,24242.8,24258.95,0
2025-04-28 10:50:00+05:30,24257.9,24282.9,24252.9,24272.45,0
2025-04-28 10:55:00+05:30,24271.85,24280.4,24263.2,24276.9,0
2025-04-28 11:00:00+05:30,24276.75,24278.6,24262.9,24268.5,0
2025-04-28 11:05:00+05:30,24267.95,24282.2,24258.3,24278.6,0
2025-04-28 11:10:00+05:30,24279.2,24280.5,24227.75,24235.0,0
2025-04-28 11:15:00+05:30,24236.2,24244.15,24210.75,24226.0,0
2025-04-28 11:20:00+05:30,24225.1,24246.25,24222.4,24229.25,0
2025-04-28 11:25:00+05:30,24228.8,24253.7,24227.05,24252.9,0
2025-04-28 11:30:00+05:30,24253.95,24265.85,24248.65,24265.25,0
2025-04-28 11:35:00+05:30,24264.9,24270.9,24260.45,24265.95,0
2025-04-28 11:40:00+05:30,24265.05,24280.45,24265.0,24276.55,0
2025-04-28 11:45:00+05:30,24277.45,24285.4,24267.95,24270.55,0
2025-04-28 11:50:00+05:30,24270.7,24288.8,24270.7,24272.55,0
2025-04-28 11:55:00+05:30,24272.35,24275.25,24261.3,24271.5,0
2025-04-28 12:00:00+05:30,24271.6,24291.65,24271.6,24282.8,0
2025-04-28 12:05:00+05:30,24285.05,24297.9,24272.15,24275.2,0
2025-04-28 12:10:00+05:30,24278.8,24296.5,24274.1,24289.65,0
2025-04-28 12:15:00+05:30,24292.3,24329.35,24286.95,24327.65,0
2025-04-28 12:20:00+05:30,24329.75,24336.2,24320.5,24321.3,0
2025-04-28 12:25:00+05:30,24325.65,24346.55,24320.1,24344.85,0
2025-04-28 12:30:00+05:30,24347.45,24352.1,24336.2,24343.7,0
2025-04-28 12:35:00+05:30,24346.7,24347.75,24331.9,24340.95,0
2025-04-28 12:40:00+05:30,24345.25,24345.25,24326.6,24336.45,0
2025-04-28 12:45:00+05:30,24339.5,24343.4,24333.15,24336.15,0
2025-04-28 12:50:00+05:30,24338.65,24345.25,24334.9,24335.9,0
2025-04-28 12:55:00+05:30,24338.2,24355.1,24332.15,24348.75,0
2025-04-28 13:00:00+05:30,24350.7,24352.5,24326.7,24330.9,0
2025-04-28 13:05:00+05:30,24334.7,24341.5,24313.5,24338.95,0
2025-04-28 13:10:00+05:30,24338.95,24349.3,24328.25,24339.0,0
2025-04-28 13:15:00+05:30,24341.85,24351.55,24328.7,24329.15,0
2025-04-28 13:20:00+05:30,24330.7,24336.05,24319.9,24333.75,0
2025-04-28 13:25:00+05:30,24333.75,24336.4,24323.15,24331.9,0
2025-04-28 13:30:00+05:30,24335.1,24342.05,24323.2,24337.75,0
2025-04-28 13:35:00+05:30,24339.6,24347.1,24323.35,24335.15,0
2025-04-28 13:40:00+05:30,24338.55,24343.6,24334.5,24341.95,0
2025-04-28 13:45:00+05:30,24344.6,24351.6,24341.7,24347.1,0
2025-04-28 13:50:00+05:30,24348.75,24351.55,24329.9,24333.15,0
2025-04-28 13:55:00+05:30,24336.55,24337.65,24325.9,24332.0,0
2025-04-28 14:00:00+05:30,24335.85,24339.2,24328.3,24332.55,0
2025-04-28 14:05:00+05:30,24333.85,24343.05,24331.6,24334.05,0
2025-04-28 14:10:00+05:30,24336.95,24352.3,24333.8,24350.6,0
2025-04-28 14:15:00+05:30,24352.6,24353.7,24326.05,24327.0,0
2025-04-28 14:20:00+05:30,24328.3,24328.35,24304.7,24304.7,0
2025-04-28 14:25:00+05:30,24308.3,24314.9,24293.55,24305.05,0
2025-04-28 14:30:00+05:30,24308.0,24321.65,24302.8,24302.8,0
2025-04-28 14:35:00+05:30,24305.4,24305.4,24280.9,24281.55,0
2025-04-28 14:40:00+05:30,24284.05,24284.05,24265.45,24273.65,0
2025-04-28 14:45:00+05:30,24276.45,24283.75,24260.9,24281.2,0
2025-04-28 14:50:00+05:30,24283.25,24313.6,24277.85,24311.8,0
2025-04-28 14:55:00+05:30,24313.55,24325.6,24306.3,24318.45,0
2025-04-28 15:00:00+05:30,24322.2,24341.3,24320.6,24327.95,0
2025-04-28 15:05:00+05:30,24329.9,24330.25,24311.85,24314.2,0
2025-04-28 15:10:00+05:30,24314.6,24327.95,24312.9,24324.1,0
2025-04-28 15:15:00+05:30,24325.6,24337.2,24325.25,24335.8,0
2025-04-28 15:20:00+05:30,24336.5,24337.75,24322.05,24322.45,0
2025-04-28 15:25:00+05:30,24322.4,24330.05,24309.55,24312.9,0
2025-04-29 09:15:00+05:30,24370.7,24442.25,24364.35,24439.25,0
2025-04-29 09:20:00+05:30,24438.5,24455.05,24424.5,24453.7,0
2025-04-29 09:25:00+05:30,24453.6,24457.65,24413.3,24417.1,0
2025-04-29 09:30:00+05:30,24418.25,24452.9,24393.55,24440.2,0
2025-04-29 09:35:00+05:30,24440.85,24442.5,24359.2,24369.45,0
2025-04-29 09:40:00+05:30,24370.1,24387.05,24303.9,24316.6,0
2025-04-29 09:45:00+05:30,24317.85,24364.5,24308.1,24315.55,0
2025-04-29 09:50:00+05:30,24316.75,24340.05,24290.75,24329.1,0
2025-04-29 09:55:00+05:30,24330.15,24395.0,24326.5,24390.25,0
