2025-05-14 04:25:54,138 - Spot Price: 24716.4, Supertrend: Green, Above EMA
2025-05-14 04:26:25,146 - Spot Price: 24710.4, Supertrend: Green, Above EMA
2025-05-14 04:26:56,185 - Spot Price: 24710.2, Supertrend: Green, Above EMA
2025-05-14 04:27:27,157 - Spot Price: 24729.65, Supertrend: Green, Above EMA
2025-05-14 04:27:58,206 - Spot Price: 24734.0, Supertrend: Green, Above EMA
2025-05-14 04:28:29,176 - Spot Price: 24730.8, Supertrend: Green, Above EMA
2025-05-14 04:29:00,142 - Spot Price: 24728.25, Supertrend: Green, Above EMA
2025-05-14 04:29:31,102 - Spot Price: 24730.1, Supertrend: Green, Above EMA
2025-05-14 04:30:02,283 - Spot Price: 24726.95, Supertrend: Green, Above EMA
2025-05-14 04:30:33,786 - Spot Price: 24723.55, Supertrend: Green, Above EMA
2025-05-14 04:31:05,224 - Spot Price: 24723.45, Supertrend: Green, Above EMA
2025-05-14 04:31:36,258 - Spot Price: 24721.55, Supertrend: Green, Above EMA
2025-05-14 04:32:07,696 - Spot Price: 24730.1, Supertrend: Green, Above EMA
2025-05-14 04:32:38,685 - Spot Price: 24731.85, Supertrend: Green, Above EMA
2025-05-14 04:33:10,607 - Spot Price: 24722.55, Supertrend: Green, Above EMA
2025-05-14 04:33:41,730 - Spot Price: 24728.6, Supertrend: Green, Above EMA
2025-05-14 04:34:13,138 - Spot Price: 24728.05, Supertrend: Green, Above EMA
2025-05-14 04:34:44,160 - Spot Price: 24726.3, Supertrend: Green, Above EMA
2025-05-14 04:35:15,237 - Spot Price: 24727.6, Supertrend: Green, Above EMA
2025-05-14 04:35:46,355 - Spot Price: 24730.4, Supertrend: Green, Above EMA
2025-05-14 04:36:17,361 - Spot Price: 24728.6, Supertrend: Green, Above EMA
2025-05-14 04:36:48,304 - Spot Price: 24736.8, Supertrend: Green, Above EMA
2025-05-14 04:37:19,278 - Spot Price: 24733.95, Supertrend: Green, Above EMA
2025-05-14 04:37:50,194 - Spot Price: 24736.1, Supertrend: Green, Above EMA
2025-05-14 04:38:21,110 - Spot Price: 24735.5, Supertrend: Green, Above EMA
2025-05-14 04:38:52,456 - Spot Price: 24737.55, Supertrend: Green, Above EMA
2025-05-14 04:39:23,431 - Spot Price: 24742.8, Supertrend: Green, Above EMA
