time,ticker,price,action,stop_price,take_profit,spot_price,quantity
2025-04-04 09:50:38.320160+05:30,NSE:NIFTY2540923050PE,161.1,BUY,23063.85,23003.85,23033.85,60
2025-04-04 09:52:26.369784+05:30,NSE:NIFTY2540923050PE,174.23,SELL,23063.85,0.0,23002.75,30
2025-04-04 09:54:26.316235+05:30,NSE:NIFTY2540923050PE,174.12,TRAIL,23029.9,0.0,22999.9,30
2025-04-04 09:54:38.418939+05:30,NSE:NIFTY2540923050PE,178.12,TRAIL,23021.7,0.0,22991.7,30
2025-04-04 10:00:49.826664+05:30,NSE:NIFTY2540923050PE,183.65,TRAIL,23016.5,0.0,22986.5,30
2025-04-04 10:01:14.207980+05:30,NSE:NIFTY2540923050PE,192.7,TRAIL,23003.95,0.0,22973.95,30
2025-04-04 10:03:13.947024+05:30,NSE:NIFTY2540923050PE,190.4,TRAIL,22999.55,0.0,22969.55,30
2025-04-04 10:04:14.420788+05:30,NSE:NIFTY2540923050PE,191.75,TRAIL,22996.5,0.0,22966.5,30
2025-04-04 10:12:13.708342+05:30,NSE:NIFTY2540923050PE,201.82,TRAIL,22983.6,0.0,22953.6,30
2025-04-04 10:14:02.518313+05:30,NSE:NIFTY2540923050PE,205.07,TRAIL,22977.25,0.0,22947.25,30
2025-04-04 10:14:14.197303+05:30,NSE:NIFTY2540923050PE,202.57,TRAIL,22974.1,0.0,22944.1,30
2025-04-04 10:15:14.008085+05:30,NSE:NIFTY2540923050PE,205.8,TRAIL,22966.95,0.0,22936.95,30
2025-04-04 10:18:26.215520+05:30,NSE:NIFTY2540923050PE,187.4,SELL,0.0,0.0,22967.5,0
2025-04-04 10:24:14.128327+05:30,NSE:NIFTY2540922950PE,153.0,BUY,22966.55,22906.55,22936.55,60
2025-04-04 10:42:37.693741+05:30,NSE:NIFTY2540922950PE,134.55,SELL,0.0,0.0,22973.85,0
2025-04-04 13:44:14.464992+05:30,NSE:NIFTY2540922900PE,127.22,BUY,22941.5,22881.5,22911.5,60
2025-04-04 13:47:13.828656+05:30,NSE:NIFTY2540922900PE,144.12,SELL,22941.5,0.0,22876.1,30
2025-04-04 14:14:49.831068+05:30,NSE:NIFTY2540922900PE,128.78,SELL,0.0,0.0,22913.8,0
2025-04-04 14:43:38.512479+05:30,NSE:NIFTY2540922850PE,118.72,BUY,22901.3,22841.3,22871.3,60
2025-04-04 15:04:26.949085+05:30,NSE:NIFTY2540922850PE,102.75,SELL,0.0,0.0,22903.1,0
