,symbol,price,action,reason,spot_price
2025-05-26 09:24:59.451563+05:30,NSE:NIFTY2560524850PE,206.95,-1,Entry - Long Put Spread - Sell Put,25017.35
2025-05-26 09:24:59.451564+05:30,NSE:NIFTY2560524500PE,110.2,1,Entry - Long Put Spread - Buy Put,25017.35
