2025-05-26 03:54:45,840 - Starting Nifty Option Selling Strategy
2025-05-26 03:54:57,242 - No existing trading data found for data-PAPER.pickle
2025-05-26 04:28:54,423 - Spot Price: 25052.1, Supertrend: Green, Above EMA
2025-05-26 04:29:25,578 - Spot Price: 25057.1, Supertrend: Green, Above EMA
2025-05-26 04:30:25,492 - Starting Nifty Option Selling Strategy
2025-05-26 04:30:26,532 - Spot Price: 25061.5, Supertrend: Green, Above EMA
2025-05-26 04:30:57,670 - Spot Price: 25061.7, Supertrend: Green, Above EMA
2025-05-26 04:31:28,727 - Spot Price: 25054.4, Supertrend: Green, Above EMA
2025-05-26 04:31:59,875 - Spot Price: 25052.5, Supertrend: Green, Above EMA
2025-05-26 04:32:30,993 - Spot Price: 25049.1, Supertrend: Green, Above EMA
2025-05-26 04:33:02,197 - Spot Price: 25044.4, Supertrend: Green, Above EMA
2025-05-26 04:33:33,320 - Spot Price: 25045.05, Supertrend: Green, Above EMA
2025-05-26 04:34:04,439 - Spot Price: 25049.5, Supertrend: Green, Above EMA
2025-05-26 04:34:35,932 - Spot Price: 25047.0, Supertrend: Green, Above EMA
2025-05-26 04:35:07,007 - Spot Price: 25047.9, Supertrend: Green, Above EMA
2025-05-26 04:35:38,015 - Spot Price: 25038.95, Supertrend: Green, Above EMA
2025-05-26 04:36:09,739 - Spot Price: 25055.3, Supertrend: Green, Above EMA
