2025-05-12 04:58:14,095 - Spot Price: 24710.4, Supertrend: Red, Above EMA
2025-05-12 04:58:45,290 - Spot Price: 24707.65, Supertrend: Red, Above EMA
2025-05-12 04:59:17,028 - Spot Price: 24704.05, Supertrend: Red, Above EMA
2025-05-12 04:59:48,485 - Spot Price: 24703.55, Supertrend: Red, Above EMA
2025-05-12 05:00:19,942 - Spot Price: 24705.3, Supertrend: Red, Above EMA
2025-05-12 05:00:51,377 - Spot Price: 24704.85, Supertrend: Red, Above EMA
2025-05-12 05:01:22,717 - Spot Price: 24705.75, Supertrend: Red, Above EMA
2025-05-12 05:01:54,057 - Spot Price: 24709.05, Supertrend: Red, Above EMA
2025-05-12 05:02:25,298 - Spot Price: 24707.45, Supertrend: Red, Above EMA
2025-05-12 05:02:57,171 - Spot Price: 24704.5, Supertrend: Red, Above EMA
2025-05-12 05:03:28,371 - Spot Price: 24697.25, Supertrend: Red, Above EMA
2025-05-12 05:03:59,578 - Spot Price: 24700.05, Supertrend: Red, Above EMA
2025-05-12 05:04:31,012 - Spot Price: 24692.6, Supertrend: Red, Above EMA
2025-05-12 05:05:02,920 - Spot Price: 24686.6, Supertrend: Red, Above EMA
2025-05-12 05:05:34,883 - Spot Price: 24693.75, Supertrend: Red, Above EMA
2025-05-12 05:06:06,167 - Spot Price: 24696.15, Supertrend: Red, Above EMA
2025-05-12 05:06:37,406 - Spot Price: 24690.25, Supertrend: Red, Above EMA
2025-05-12 05:07:09,106 - Spot Price: 24690.65, Supertrend: Red, Above EMA
2025-05-12 05:07:41,133 - Spot Price: 24688.75, Supertrend: Red, Above EMA
2025-05-12 05:08:12,744 - Spot Price: 24682.1, Supertrend: Red, Above EMA
2025-05-12 05:08:43,972 - Spot Price: 24683.4, Supertrend: Red, Above EMA
2025-05-12 05:09:15,420 - Spot Price: 24682.5, Supertrend: Red, Above EMA
2025-05-12 05:09:46,915 - Spot Price: 24681.15, Supertrend: Red, Above EMA
2025-05-12 05:10:18,772 - Spot Price: 24686.0, Supertrend: Red, Above EMA
2025-05-12 05:10:50,470 - Spot Price: 24684.8, Supertrend: Red, Above EMA
2025-05-12 05:11:21,742 - Spot Price: 24685.35, Supertrend: Red, Above EMA
2025-05-12 05:11:53,751 - Spot Price: 24687.3, Supertrend: Red, Above EMA
2025-05-12 05:12:25,011 - Spot Price: 24679.25, Supertrend: Red, Above EMA
2025-05-12 05:12:56,912 - Spot Price: 24677.15, Supertrend: Red, Above EMA
2025-05-12 05:13:28,675 - Spot Price: 24682.0, Supertrend: Red, Above EMA
2025-05-12 05:13:59,990 - Spot Price: 24695.45, Supertrend: Red, Above EMA
2025-05-12 05:14:31,329 - Spot Price: 24698.1, Supertrend: Red, Above EMA
2025-05-12 05:15:03,626 - Spot Price: 24698.25, Supertrend: Red, Above EMA
2025-05-12 05:15:34,832 - Spot Price: 24691.2, Supertrend: Red, Above EMA
2025-05-12 05:16:06,617 - Spot Price: 24691.8, Supertrend: Red, Above EMA
2025-05-12 05:16:38,131 - Spot Price: 24687.6, Supertrend: Red, Above EMA
2025-05-12 05:17:09,442 - Spot Price: 24681.6, Supertrend: Red, Above EMA
2025-05-12 05:17:41,727 - Spot Price: 24676.85, Supertrend: Red, Above EMA
2025-05-12 05:20:32,398 - Spot Price: 24686.25, Supertrend: Red, Above EMA
2025-05-12 05:21:04,082 - Spot Price: 24690.15, Supertrend: Red, Above EMA
2025-05-12 05:21:35,314 - Spot Price: 24686.5, Supertrend: Red, Above EMA
2025-05-12 05:22:06,811 - Spot Price: 24682.45, Supertrend: Red, Above EMA
2025-05-12 05:22:38,262 - Spot Price: 24679.25, Supertrend: Red, Above EMA
2025-05-12 05:23:09,938 - Spot Price: 24683.8, Supertrend: Red, Above EMA
2025-05-12 05:23:41,389 - Spot Price: 24684.05, Supertrend: Red, Above EMA
2025-05-12 05:24:13,275 - Spot Price: 24686.6, Supertrend: Red, Above EMA
2025-05-12 05:24:44,930 - Spot Price: 24688.65, Supertrend: Red, Above EMA
2025-05-12 05:25:16,213 - Spot Price: 24687.55, Supertrend: Red, Above EMA
2025-05-12 05:25:47,912 - Spot Price: 24682.1, Supertrend: Red, Above EMA
2025-05-12 05:26:19,148 - Spot Price: 24688.6, Supertrend: Red, Above EMA
2025-05-12 05:26:50,427 - Spot Price: 24691.55, Supertrend: Red, Above EMA
2025-05-12 05:27:21,756 - Spot Price: 24693.35, Supertrend: Red, Above EMA
2025-05-12 05:27:53,033 - Spot Price: 24684.5, Supertrend: Red, Above EMA
2025-05-12 05:28:24,939 - Spot Price: 24682.2, Supertrend: Red, Above EMA
2025-05-12 05:28:56,238 - Spot Price: 24671.35, Supertrend: Red, Above EMA
2025-05-12 05:29:28,434 - Spot Price: 24673.45, Supertrend: Red, Above EMA
2025-05-12 05:29:59,832 - Spot Price: 24679.75, Supertrend: Red, Above EMA
2025-05-12 05:30:31,148 - Spot Price: 24683.1, Supertrend: Red, Above EMA
2025-05-12 05:31:02,915 - Spot Price: 24682.8, Supertrend: Red, Above EMA
2025-05-12 05:31:34,191 - Spot Price: 24687.25, Supertrend: Red, Above EMA
2025-05-12 05:32:05,426 - Spot Price: 24691.3, Supertrend: Red, Above EMA
2025-05-12 05:32:36,982 - Spot Price: 24692.4, Supertrend: Red, Above EMA
2025-05-12 05:33:08,259 - Spot Price: 24691.65, Supertrend: Red, Above EMA
2025-05-12 05:33:39,400 - Spot Price: 24689.2, Supertrend: Red, Above EMA
